,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2023-01-03 16:21:00,2023-01-03 22:42:00,Strasbourg,48.584532,7.734793,22860,3,Aigle,46.31685,6.96367,977,23837,Strasbourg,Aigle
1,2023-01-03 16:15:00,2023-01-03 22:42:00,Strasbourg,48.584532,7.734793,23220,3,Aigle,46.31685,6.96367,617,23837,Strasbourg,Aigle
2,2023-01-04 06:40:00,2023-01-04 12:35:00,Strasbourg,48.584532,7.734793,21300,3,Aix la Chapelle,50.7675,6.0912,52517,73817,Strasbourg,Aix la Chapelle
3,2023-01-04 06:01:00,2023-01-04 12:35:00,Strasbourg,48.584532,7.734793,23640,1,Aix la Chapelle,50.7675,6.0912,50177,73817,Strasbourg,Aix la Chapelle
4,2023-01-04 06:47:00,2023-01-04 12:40:00,Strasbourg,48.584532,7.734793,21180,2,Allaman,46.47575,6.3997,52937,74117,Strasbourg,Allaman
5,2023-01-03 16:19:00,2023-01-03 22:44:00,Strasbourg,48.584532,7.734793,23100,3,Amsterdam Centraal,52.37908,4.900632,857,23957,Strasbourg,Amsterdam Centraal
6,2023-01-03 17:01:00,2023-01-03 23:11:00,Strasbourg,48.584532,7.734793,22200,1,Amsterdam Centraal,52.37908,4.900632,3377,25577,Strasbourg,Amsterdam Centraal
7,2023-01-03 16:19:00,2023-01-03 21:27:00,Strasbourg,48.584532,7.734793,18480,3,Antwerpen Centraal,51.216,4.421,857,19337,Strasbourg,Antwerpen Centraal
8,2023-01-03 16:26:00,2023-01-03 16:45:00,Krimmeri Meinau,48.563644,7.752614,1140,0,Appenweier,48.5419,7.9735,1277,2417,Strasbourg,Appenweier
9,2023-01-03 17:46:00,2023-01-03 21:04:00,Strasbourg,48.584532,7.734793,11880,0,Augsburg Hbf,48.3654,10.886,6077,17957,Strasbourg,Augsburg Hbf
10,2023-01-04 13:55:00,2023-01-04 14:22:00,Strasbourg,48.584532,7.734793,1620,0,Baden-Baden,48.7903,8.190899999999999,78617,80237,Strasbourg,Baden-Baden
11,2023-01-03 16:21:00,2023-01-03 17:45:00,Strasbourg,48.584532,7.734793,5040,1,Bâle Saint-Jean,47.57031,7.572745,977,6017,Strasbourg,Bâle Saint-Jean
12,2023-01-03 16:21:00,2023-01-03 17:38:00,Strasbourg,48.584532,7.734793,4620,0,Basel SBB,47.5474,7.58956,977,5597,Strasbourg,Basel SBB
